No.,Kode Barang,Nama Barang,Satuan,Saldo di Sistem,
389,1010305008000005,Pembersih kaca  cling,buah,0,
390,1010305008000006,Sabun cuci Piring  Sunlight,buah,0,
391,1010305008000007,Smart Cleaner Pembersih Kamar Mandi,Liter,0,
392,1010305008000008,Pembersih Lantai  SOS,buah,0,
393,1010305008000009,Pembersih Porcelen  Vixal,buah,0,
394,1010305008000010,Pembersih Lantai  Wipol,buah,0,
395,1010305008000011,Super Cleaning M-tech,buah,0,
396,1010305008000012,Pembersih Lantai So Klin,buah,0,
397,1010305012000032,Pengharum ruangan,buah,0,
398,1010305012000033,Pewangi Kloset,Buah,0,
399,1010305012000034,Pengharum Ruangan Matic,Buah,0,
400,1010305012000035,Pengharum ruangan  Glade,buah,0,
401,1010305012000036,Kapur Barus,buah,0,
402,1010305012000037,Pengharum Ruangan  Stella,buah,0,
403,1010305012000038,Aerosol Dispenser,buah,0,
404,1010305012000039,Perfume Refill,buah,0,
405,1010305999000001,Tempat Pensil,Buah,0,
406,1010305999000030,Sabun mandi,buah,0,
407,1010305999000031,Rinso,buah,0,
408,1010305999000032,Sabun Cuci Piring,Botol,0,
409,1010305999000033,Pembersih Kamar Mandi,Botol,0,
410,1010305999000034,Kamfer Kamar Mandi,Pak,0,
411,1010305999000035,Tissue Kotak,Buah,0,
412,1010305999000036,Lampu Neon,Buah,0,
413,1010305999000037,Kemoceng,Buah,0,
414,1010305999000038,Tempat Sampah Injak,Buah,0,
415,1010305999000039,Kamper,Bungkus,0,
416,1010305999000040,Taplak Meja,Buah,0,
417,1010305999000041,Lampu Neon  Philips,buah,0,
418,1010305999000042,Sabun Mandi Dettol,Buah,0,
419,1010305999000043,Peta,Lembar,0,
420,1010305999000044,Pigura,Buah,0,
421,1010305999000045,White Board,Buah,0,
422,1010305999000046,Sabun Cuci Tangan  Dee-Dee,buah,0,
423,1010305999000047,Sabun Cuci Tangan ABT,botol,0,
424,1010305999000048,Kantong plastik,buah,0,
425,1010306002000001,Lampu Bohlam 18 watt,buah,10,
426,1010306002000002,Lampu Neon panjang 18 watt,buah,20,
427,1010306010000001,Batu Baterai A2,Buah,0,
428,1010306010000002,Batu Batere Alkalin Kotak,Buah,1,
429,1010306010000003,Batu Baterai Alkalin Kecil,Buah,0,
430,1010306010000004,Batu Baterai ABC,buah,2,
431,1010306010000005,Batu Baterai Eveready,buah,0,
432,1010306010000006,Batu Baterai Energizer,buah,0,
433,1010306010000007,Batu Baterai Alkaline A3,buah,0,
434,1010306010000008,Batu Baterai ABC Kecil,buah,0,
435,1010306010000009,Batu Baterai Alk LR-03,buah,20,
436,1010306010000010,Batu Baterai Alk LR-06,buah,24,
437,1010307006000001,ID Card,Buah,0,
438,1010307007000003,Box Kecil,Buah,0,
439,1010307007000004,Box Sedang,Buah,0,
440,1010307007000005,Box Besar,Buah,0,
441,1010399999000289,Map Arsip,buah,0,
442,1010399999000290,Box Arsip,buah,71,
443,1010399999000433,Ballpoint Trendee 02 FKP 2023,buah,204,
444,1010399999000630,Bahan Publisitas SE2026 (Totebag),buah,43,
445,1010399999000643,Publisitas dan Sosialisasi Pelaksanaan Sensus Ekonomi 2026 (X Banner),buah,180,
446,1010399999000644,Publisitas dan Sosialisasi Pelaksanaan Sensus Ekonomi 2026 (Roll Banner),buah,30,
447,1010399999000645,Publisitas dan Sosialisasi Pelaksanaan Sensus Ekonomi 2026 (Leaflet),buah,"3,250",
448,1010399999000646,Publisitas dan Sosialisasi Pelaksanaan Sensus Ekonomi 2026 (Baliho),buah,1,
